Thumb,Index,Middle,Ring,Pinky,Letter,
3721,4058,2958,3488,3295,6,
3749,3661,2935,3467,3167,6,
3727,3623,2927,3419,2931,6,
3778,3618,2939,3417,3021,6,
3773,3629,2931,3414,2800,6,
3728,3582,3120,3299,3399,6,
3742,3605,3091,3336,3295,6,
3760,3697,2942,3394,3163,6,
3745,3705,2937,3466,3337,6,
3759,3659,2766,3490,3200,6,
3730,3662,2800,3474,3287,6,
3712,3633,2910,3457,3287,6,
3682,3627,3236,3243,3248,6,
3728,3412,3287,3267,3264,6,
3739,3656,3171,3344,3396,6,
3734,3644,3141,3344,3362,6,
3722,3640,2885,3280,3037,6,
3746,3486,2514,3270,2524,6,
3741,3504,2570,3232,2494,6,
3726,3658,2616,3322,2653,6,
3706,3575,2695,3295,3099,6,
3710,3634,2435,3382,3234,6,
3687,3648,2438,3324,2843,6,
3701,3636,2743,3451,3192,6,
3740,3579,2736,3383,3191,6,
3700,3709,2689,3387,3196,6,
3713,3536,2691,3376,3199,6,
3711,3541,2699,3351,3201,6,
3612,3527,2771,3350,3130,6,
3696,3523,2762,3386,3145,6,
3696,3527,3008,3342,3382,6,
3695,3735,2284,1869,3350,7,f
3786,3677,2347,1919,3429,7,
3719,3632,2442,1931,3424,7,
3679,3567,2446,1979,3414,7,
3376,3621,2507,1986,3427,7,
3731,3607,2550,2066,3489,7,
3693,3712,2438,2011,3442,7,
3764,3680,2416,1998,3463,7,
4009,3504,2416,2042,3440,7,
3757,3651,2391,2007,3403,7,
3835,3645,2512,2000,3503,7,
3751,3551,2494,2047,3748,7,
3786,3568,2507,2093,3418,7,
3713,3535,2134,1955,3442,7,
3713,3677,2529,1951,3431,7,
3729,3661,2523,2000,3408,7,
3965,3696,2243,1807,3558,7,
3811,3655,2262,1872,3533,7,
3938,3582,2256,1835,3525,7,
3807,3647,2401,1968,3412,7,
3805,3663,2363,2073,3506,7,
3809,3681,2379,2067,3503,7,
3792,3674,2459,2099,3600,7,
3749,3620,2458,2151,3565,7,
3767,3610,2426,2148,3505,7,
4080,3630,2462,2174,3536,7,
3793,3601,2470,2131,3536,7,
3792,3638,2480,2128,3552,7,
3758,3493,2477,2134,3552,7,
3738,3607,2631,2198,3681,7,
3775,3603,2523,2193,3540,7,
3790,3627,2530,2191,3483,7,
3789,3625,2543,1989,3427,7,
3792,3583,2499,2163,3482,7,
3771,3581,2525,2227,3590,7,
3664,3559,2523,2191,3491,7,
3761,3643,2512,2193,3393,7,
3735,3547,2543,2209,3499,7,
3792,3583,2518,2192,3532,7,
3794,3599,2527,2189,3518,7,
3765,3504,2569,2170,3475,7,
3818,3553,2569,2187,3519,7,
3779,3490,2531,2176,3479,7,
3856,3562,2694,2287,3495,7,
3699,3713,2698,2305,3536,7,
3809,3568,2688,2288,3531,7,
3788,3627,2777,2362,3536,7,
3902,3805,2718,2351,3554,7,
3813,3685,2682,2191,3468,7,
3829,3675,2746,2338,3583,7,
3776,3681,2753,2346,3543,7,
3804,3651,2722,2349,3547,7,
3824,3653,2741,2320,3557,7,
3809,3661,2725,2346,3557,7,
3809,3557,2709,2401,3550,7,
3707,3655,2277,1800,2784,8,g
3732,3697,2389,1872,2832,8,
3711,3644,2407,1968,2883,8,
3723,3662,2490,1967,2946,8,
3732,3739,2464,2000,2952,8,
3714,3601,2478,2021,2959,8,
3706,3609,2479,2069,2953,8,
3744,3663,2513,2035,2967,8,
3728,3679,2507,2070,3001,8,
3709,3623,2542,2093,2957,8,
3717,3713,2514,2117,2950,8,
3698,3625,2559,2103,2992,8,
3687,3612,2619,2164,2758,8,
3621,3615,2624,2127,2819,8,
3455,3423,2518,2109,2821,8,
3722,3607,2547,2128,3239,8,
3711,3595,2577,2165,2887,8,
3739,3673,2594,2128,3136,8,
3723,3581,2607,2181,2946,8,
3766,3571,2612,2135,2950,8,
3740,3546,2631,2218,2979,8,
3317,3523,2624,2175,2938,8,
3725,3536,2615,2176,2992,8,
3665,3529,2630,2191,2987,8,
3777,3670,2619,2169,2992,8,
3712,3680,2717,2175,2977,8,
3756,3661,2639,2180,2992,8,
3762,3686,2639,2177,2891,8,
3767,3663,2705,2177,2993,8,
3755,3651,2638,2144,2986,8,
3761,3669,2647,2176,2978,8,
3888,3678,2659,2159,2984,8,
4095,3649,2634,2145,2991,8,
3734,3622,2627,2171,2943,8,
3777,3661,2640,2201,2995,8,
3746,3661,2651,2196,2958,8,
3758,3635,2661,2179,2987,8,
3773,3600,2641,2047,2997,8,
3743,3638,2580,2128,2960,8,
3849,3638,2334,1981,2259,8,
3915,3623,2414,2012,2352,8,
3863,3611,2439,2091,2405,8,
3763,3648,2497,2047,2424,8,
3867,3638,2483,1996,2426,8,
3854,3582,2416,2064,2370,8,
3630,3385,2355,2003,2417,8,
3836,3612,2484,2042,2445,8,
3824,3619,2497,2033,2502,8,
3883,3651,2457,2075,2581,8,
3876,3615,2466,2085,2591,8,
3850,3664,2473,2085,2544,8,
3893,3632,2477,2086,2621,8,
3926,3618,2463,2095,2630,8,
3883,3601,2481,2082,2621,8,
3915,3617,2496,2091,2635,8,
3812,3659,2412,2093,2576,8,
3856,3472,2512,2096,2644,8,
4095,3639,2509,2081,2678,8,
3886,3504,2506,2093,2457,8,
3874,3579,2506,2096,2698,8,
4095,3709,2481,2065,2598,8,
3899,3667,2654,2157,2735,8,
3881,3618,2755,2229,2871,8,
3847,3643,2748,2241,2849,8,
3824,3568,2720,2231,2875,8,
3877,3322,2741,2235,2822,8,
3951,3635,2783,2207,2867,8,
3917,2497,3714,3152,3471,9,h
3918,2576,3695,3237,3458,9,
3951,2569,3888,3376,3534,9,
3903,2621,3902,3406,3638,9,
3920,2635,3788,3354,3591,9,
3964,2672,3825,3367,3606,9,
3939,2661,3921,3322,3646,9,
3909,2682,3862,3335,3633,9,
3889,2653,3792,3313,3619,9,
3946,2669,3835,3330,3612,9,
3909,2608,4095,3318,3617,9,
3904,2672,3879,3346,3655,9,
3954,2666,3885,3344,3571,9,
3911,2660,3904,3372,3630,9,
3922,2713,3831,3326,3602,9,
3891,2659,3801,3317,3616,9,
3933,2698,3854,3334,3624,9,
3927,2645,3857,3335,3600,9,
3924,2686,3841,3322,3611,9,
3888,2676,3831,3328,3602,9,
3951,2705,3819,3326,3565,9,
3933,2587,3706,3313,3633,9,
3888,2576,3798,3345,3669,9,
4037,2667,3850,3364,3618,9,
3985,2703,3891,3363,3695,9,
3850,2787,3783,3350,3676,9,
3855,2675,3858,3346,3653,9,
3837,2697,3802,3359,3559,9,
3724,2623,3794,3326,3632,9,
3824,2736,3765,3306,3605,9,
3815,2763,3797,3247,3616,9,
3838,2775,3835,3776,3648,9,
3801,2825,3791,3334,3637,9,
3791,2758,3760,3348,3575,9,
3841,2768,3799,3342,3600,9,
3821,2775,3786,3318,3598,9,
3819,2766,3762,3119,3579,9,
3830,2843,3776,3329,3608,9,
3846,2771,3781,3331,3529,9,
3831,2767,3760,3307,3564,9,
3846,2757,3803,3331,3514,9,
3851,2775,3760,3341,3534,9,
3875,2785,3769,3343,3575,9,
3842,2777,3760,3329,3571,9,
3824,2781,3822,3333,3546,9,
3866,2778,3760,3353,4016,9,
3815,2821,3735,3319,3509,9,
3915,2811,3741,3338,3632,9,
3815,2809,3806,3326,3601,9,
3869,3030,3806,3280,3563,9,
3865,2738,3792,3299,3555,9,
3815,2708,3783,3293,3697,9,
3871,2757,3806,3315,3582,9,
3863,2829,3862,3440,3211,10,i
3855,2816,3875,3387,3200,10,
3861,2803,3846,3372,3204,10,
3789,2799,3837,3344,3253,10,
3835,2819,3824,3358,3281,10,
3795,2830,3849,3473,3222,10,
3763,2839,3824,3417,3087,10,
3755,2734,3867,3373,3069,10,
3683,2763,3887,3405,3171,10,
3789,2737,3925,3459,3171,10,
3731,2730,3898,3392,3171,10,
3731,2799,3952,3440,3130,10,
3874,2615,4034,3448,3009,10,
3867,2639,3863,3445,2910,10,
3903,2680,3924,3383,2461,10,
3897,2685,3897,3396,2544,10,
3891,2704,3901,3405,2576,10,
3838,2666,3858,3345,2624,10,
3793,2880,3951,3409,3102,10,
3841,2875,3883,3408,3086,10,
3839,2769,3920,3419,3125,10,
3831,2897,3827,3411,3137,10,
3992,2855,3920,3413,3120,10,
3850,2858,3914,3409,3117,10,
3837,2853,3917,3412,3120,10,
3863,2852,3929,3434,3130,10,
3850,2851,3923,3478,3131,10,
3856,2608,3899,3408,3056,10,
3856,2848,3926,3404,3117,10,
3828,2858,3899,3498,3125,10,
3853,2867,3912,3390,3131,10,
3839,2873,3909,3404,3127,10,
3828,2887,3873,3359,3129,10,
3850,2870,3893,3425,3122,10,
3839,2953,3905,3379,3114,10,
3842,2848,3926,3450,3142,10,
3825,2858,4010,3398,3119,10,
3837,2867,3909,3399,3119,10,
3850,2864,3903,3367,3127,10,
3834,2994,3920,3403,3130,10,
3824,2869,3949,3390,3102,10,
3770,2865,3957,3395,3122,10,
3858,2818,3887,3363,3117,10,
3937,2840,3904,3344,3120,10,
3942,2862,3918,3381,3137,10,
3904,2768,3904,3379,3124,10,
3888,2889,3906,3344,3145,10,
3799,2881,3927,3405,3135,10,
3819,2966,3898,3362,3156,10,
3826,2994,3894,3381,3142,10,
3840,2983,3885,3365,3155,10,
3840,2972,3824,3348,3052,10,
3836,3001,3869,3350,3175,10,
3858,2990,3829,3376,3143,10,
3813,2995,3893,3374,3188,10,
3853,3058,3846,3382,3172,10,
3860,2975,3845,3328,3216,10,
3843,3001,3907,3373,3141,10,
3837,2992,3952,2099,3523,11,j
3830,3008,3877,2128,3492,11,
3828,3055,3889,2243,3475,11,
3778,2974,3815,2077,3460,11,
3843,2948,3921,2179,3440,11,
3797,2966,3920,2224,3476,11,
